,size,times
1122,98,20349.0
1124,96,8012.0
1125,632,7195.0
1126,997,12649.0
1127,102,19738.0
1130,99,9200.0
1131,101,18076.0
1132,100,19998.0
1135,95,6953.0
1136,98,22327.0
1137,101,18024.0
1140,101,7426.0
1141,849,2967.0
1142,104,16474.0
1143,102,22554.0
1145,96,11545.0
1146,101,16918.0
1147,98,21038.0
1150,1170,552.0
1151,1235,6574.0
1152,103,20194.0
1153,485,13358.0
1154,101,7053.0
1156,102,6556.0
1157,99,19480.0
1158,98,20006.0
1159,417,1349.0
1161,66,227.0
1162,102,516.0
1166,420,17834.0
1167,98,258.0
1168,102,19578.0
1169,96,20448.0
1173,66,236.0
1174,104,9422.0
1175,102,19684.0
1176,102,22881.0
1179,102,7598.0
1181,66,207.0
1182,474,12636.0
1183,100,5544.0
1184,105,19597.0
1187,103,694.0
1188,335,2947.0
1189,911,17393.0
1190,103,19128.0
1192,102,4897.0
1193,94,20282.0
1194,102,20001.0
1195,108,21178.0
1196,687,2842.0
1199,101,4969.0
1200,104,19885.0
1201,100,20241.0
1202,96,21857.0
1205,97,6473.0
1206,101,20048.0
1207,116,10337.0
1208,103,9132.0
1209,102,20328.0
1213,102,6290.0
1214,102,20710.0
1215,103,19292.0
1216,838,7690.0
1219,80,1028.0
1220,900,6504.0
1221,101,19873.0
1222,98,22082.0
1224,97,10303.0
1225,103,17093.0
1226,98,19794.0
1229,97,2681.0
1230,99,21498.0
1231,106,19802.0
1234,105,7632.0
1235,100,18587.0
1236,936,14627.0
1237,99,4719.0
1238,100,19915.0
1241,102,7594.0
1242,101,20476.0
1243,100,19387.0
1245,66,495.0
1247,95,6067.0
1248,100,19889.0
1249,101,20000.0
1250,101,23640.0
1254,103,4917.0
1255,103,19351.0
1256,1232,4935.0
1257,1292,14631.0
1259,97,7445.0
1260,99,19836.0
1261,1264,17760.0
1262,102,2209.0
1266,97,5597.0
1267,115,20117.0
1268,99,19270.0
1269,103,18480.0
1270,98,19844.0
