cnt,times
3,1300.0
2,1430.0
2,9652.0
1,141.0
2,8151.0
1,6334.0
3,7333.0
2,4965.0
3,15253.0
1,141.0
2,10049.0
2,8455.0
1,159.0
2,5167.0
2,10469.0
1,153.0
2,5596.0
2,8253.0
3,2632.0
2,4538.0
4,1297.0
2,1952.0
1,128.0
2,8751.0
2,7251.0
2,6634.0
3,5752.0
1,357.0
2,834.0
2,4329.0
3,5776.0
1,281.0
2,17014.0
1,843.0
2,18151.0
1,15462.0
2,1747.0
1,496.0
4,6821.0
2,10501.0
2,1103.0
2,5346.0
1,363.0
2,16008.0
2,17867.0
2,7035.0
5,4961.0
2,8332.0
3,9986.0
2,6710.0
2,8478.0
3,6560.0
1,431.0
2,4149.0
3,7890.0
2,5671.0
2,8624.0
2,9790.0
3,1968.0
2,8580.0
2,8274.0
2,2035.0
2,6407.0
1,368.0
4,7897.0
2,2262.0
2,6079.0
3,3875.0
2,5502.0
3,7527.0
1,482.0
2,9094.0
10,332.0
1,551.0
13,14571.0
1,700.0
5,10194.0
1,531.0
1,143.0
1,1041.0
17,3335.0
7,17448.0
1,623.0
1,501.0
25,13056.0
5,2288.0
4,3469.0
2,18344.0
3,5580.0
1,412.0
3,7547.0
1,16248.0
3,7690.0
2,16552.0
1,456.0
4,4421.0
2,5905.0
3,10190.0
2,8192.0
1,382.0
2,9580.0
3,2281.0
2,10699.0
3,1540.0
2,5956.0
2,15382.0
1,325.0
2,7609.0
3,4952.0
1,469.0
2,3512.0
4,10401.0
2,6505.0
2,10381.0
1,382.0
3,7573.0
2,2683.0
3,4564.0
2,7728.0
1,325.0
3,7158.0
2,1107.0
1,504.0
3,7114.0
4,2987.0
1,912.0
3,15058.0
1,243.0
12,16591.0
5,596.0
2,12198.0
3,7609.0
1,357.0
2,4761.0
3,6747.0
3,9966.0
2,4017.0
2,6061.0
3,1556.0
2,2368.0
3,10672.0
2,7876.0
1,390.0
3,1395.0
2,6061.0
4,7775.0
3,5270.0
1,400.0
2,10316.0
3,8144.0
2,3994.0
3,5933.0
1,440.0
3,5795.0
3,8137.0
3,8680.0
1,2803.0
2,800.0
1,544.0
1,6239.0
4,17852.0
1,508.0
3,10630.0
1,8418.0
2,11505.0
3,6583.0
1,7344.0
2,6750.0
3,9603.0
4,7289.0
1,553.0
9,15203.0
8,15573.0
1,589.0
12,200.0
13,6602.0
1,167.0
15,4196.0
3,161.0
10,2963.0
4,98.0
7,3753.0
3,1548.0
3,14300.0
1,225.0
4,2859.0
2,10525.0
3,6035.0
3,7078.0
3,1038.0
2,10698.0
1,153.0
2,3135.0
3,10450.0
1,162.0
1,1284.0
2,20614.0
3,7492.0
1,272.0
3,7574.0
1,7065.0
3,6815.0
3,7855.0
3,7365.0
2,16008.0
4,151.0
3,6497.0
1,130.0
4,6241.0
3,6597.0
3,676.0
3,8207.0
1,872.0
3,6767.0
3,7499.0
2,8366.0
1,131.0
3,4942.0
1,109.0
3,5343.0
3,8186.0
3,8478.0
3,4762.0
3,7627.0
1,1496.0
3,7565.0
3,2500.0
1,305.0
3,9259.0
3,3150.0
4,4476.0
2,8265.0
3,2284.0
1,130.0
13,16243.0
2,788.0
3,20281.0
3,6212.0
2,6618.0
4,7540.0
3,6798.0
2,1277.0
4,8273.0
2,1522.0
1,141.0
2,5420.0
3,4867.0
1,243.0
4,7380.0
2,4823.0
1,348.0
13,15750.0
5,18041.0
1,423.0
9,15719.0
2,320.0
1,40.0
8,2758.0
2,18239.0
3,9020.0
1,405.0
4,10509.0
3,4266.0
3,4551.0
3,7571.0
3,10070.0
2,1852.0
1,442.0
4,8494.0
2,9124.0
2,5909.0
4,7122.0
1,459.0
3,11702.0
5,1331.0
3,5919.0
1,394.0
4,6107.0
3,7439.0
2,6750.0
4,6785.0
2,4546.0
2,4104.0
3,11388.0
3,8621.0
1,589.0
3,4166.0
3,5294.0
3,9998.0
3,4860.0
4,1381.0
2,4846.0
1,363.0
3,704.0
2,6220.0
1,430.0
2,7422.0
3,8315.0
3,4459.0
3,5161.0
3,207.0
4,7288.0
3,7404.0
2,5681.0
1,519.0
5,8313.0
4,170.0
2,8037.0
2,1932.0
3,5102.0
4,2783.0
4,4511.0
2,14314.0
1,241.0
3,7997.0
2,8191.0
8,18.0
4,16393.0
3,5.0
2,18314.0
1,319.0
4,1281.0
1,617.0
4,2058.0
3,10442.0
2,3538.0
4,7910.0
3,150.0
1,413.0
3,3495.0
1,476.0
1,16709.0
1,1092.0
1,377.0
1,496.0
9,10807.0
1,552.0
10,9013.0
1,17414.0
1,171.0
8,33.0
30,20.0
13,2406.0
1,10384.0
3,340.0
1,10872.0
3,10046.0
4,6346.0
1,264.0
1,3901.0
1,134.0
3,10263.0
2,6850.0
2,10427.0
3,709.0
3,8162.0
4,10361.0
4,5599.0
4,7346.0
3,7430.0
2,105.0
1,14795.0
2,18492.0
1,3133.0
3,6970.0
3,8984.0
3,8687.0
1,384.0
2,5587.0
2,5379.0
1,275.0
1,5730.0
2,3468.0
7,98.0
7,301.0
13,3023.0
5,104.0
8,1377.0
3,93.0
4,69.0
7,8973.0
3,128.0
2,4132.0
7,7702.0
3,7489.0
1,147.0
8,345.0
3,1183.0
4,2952.0
1,176.0
1,4020.0
1,139.0
3,6826.0
3,7617.0
2,4752.0
3,5567.0
5,4372.0
1,6526.0
3,6244.0
7,142.0
4,7935.0
14,80.0
4,389.0
3,87.0
10,9079.0
5,92.0
8,6259.0
4,75.0
3,3348.0
2,1780.0
3,272.0
3,1514.0
3,8311.0
3,7145.0
3,9096.0
2,8797.0
1,281.0
2,7953.0
4,155.0
3,6640.0
3,18177.0
13,843.0
8,236.0
3,67.0
10,4453.0
6,88.0
1,148.0
3,707.0
12,87.0
9,553.0
1,1292.0
5,369.0
15,9.0
1,711.0
2,178.0
4,3712.0
6,97.0
16,134.0
30,2055.0
1,7488.0
1,101.0
3,1141.0
4,3189.0
1,8556.0
1,215.0
2,2316.0
3,1226.0
