cnt,times
1,2606.0
26,7989.0
29,883.0
20,10938.0
1,95.0
65,1071.0
1,25.0
7,6096.0
1,139.0
1,815.0
14,17389.0
1,456.0
1,152.0
1,39.0
1,30.0
26,7830.0
1,324.0
22,11209.0
8,3434.0
1,85.0
3,9499.0
3,9505.0
2,6581.0
4,14488.0
4,11695.0
4,3914.0
5,13857.0
3,11052.0
3,9764.0
44,731.0
1,326.0
2,49.0
21,10957.0
1,43.0
21,10899.0
1,130.0
21,5669.0
1,40.0
24,10987.0
1,151.0
19,4657.0
3,5684.0
31,8112.0
27,8079.0
1,96.0
14,6173.0
40,9696.0
1,20.0
13,11702.0
1,49.0
19,13889.0
5,10976.0
3,9225.0
4,10484.0
1,2366.0
3,11506.0
5,12356.0
1,2660.0
3,11341.0
5,12046.0
4,4388.0
21,2456.0
2,5981.0
3,14618.0
1,2304.0
4,12343.0
3,12810.0
5,12814.0
2,18607.0
2,868.0
5,1208.0
5,9564.0
2,8997.0
2,12298.0
4,18211.0
4,5839.0
3,14873.0
4,12287.0
3,18315.0
6,7819.0
4,8388.0
4,8357.0
1,3323.0
3,13093.0
5,12225.0
4,14659.0
6,4084.0
3,6578.0
1,2743.0
4,11445.0
3,9063.0
1,2642.0
5,9392.0
3,11666.0
1,2658.0
4,11812.0
5,17209.0
4,15475.0
6,4540.0
5,18056.0
4,4521.0
1,2500.0
4,14666.0
3,12561.0
4,14710.0
4,15659.0
1,3320.0
3,15216.0
4,11367.0
6,867.0
1,2225.0
1,12919.0
4,665.0
1,1765.0
3,17477.0
5,10272.0
1,2406.0
4,9573.0
3,13054.0
5,2736.0
1,1251.0
5,681.0
3,5128.0
3,13627.0
5,14395.0
5,11545.0
3,6869.0
6,13318.0
3,11849.0
4,13167.0
3,12037.0
1,2708.0
5,12161.0
3,13608.0
3,9624.0
3,12355.0
3,11979.0
5,11179.0
3,11384.0
3,17938.0
4,14219.0
4,9950.0
1,2050.0
3,16388.0
3,16137.0
5,14444.0
4,14433.0
4,11045.0
4,7720.0
1,2285.0
51,2225.0
5,2305.0
2,1275.0
3,7359.0
1,109.0
12,10435.0
19,5480.0
16,20942.0
7,6267.0
5,1624.0
18,20263.0
1,1244.0
1,4.0
3,3217.0
4,15313.0
4,954.0
3,13323.0
4,9512.0
1,2513.0
4,1939.0
2,11537.0
4,3009.0
3,11322.0
1,2389.0
4,128.0
4,12777.0
5,4577.0
3,9848.0
1,2101.0
3,11008.0
4,9377.0
4,10263.0
4,14130.0
5,4563.0
4,495.0
1,2372.0
3,14003.0
1,5269.0
4,6442.0
4,11161.0
4,12549.0
3,9311.0
4,10766.0
1,1242.0
3,14617.0
5,14817.0
4,7711.0
3,12206.0
1,3007.0
4,10159.0
1,3019.0
5,11778.0
5,15353.0
5,2009.0
1,1928.0
20,4010.0
2,324.0
3,2517.0
5,7594.0
3,11280.0
4,12489.0
1,2489.0
5,12921.0
4,9387.0
3,9140.0
4,13854.0
3,11373.0
5,10807.0
5,9493.0
3,11311.0
4,14640.0
1,2910.0
3,11793.0
5,12104.0
4,4243.0
4,7837.0
1,1645.0
4,11853.0
3,15734.0
5,14140.0
4,748.0
1,2758.0
4,11714.0
4,8915.0
3,8812.0
5,12716.0
4,12395.0
1,1802.0
5,4967.0
2,5969.0
1,2150.0
2,11223.0
3,11649.0
4,12954.0
3,12214.0
4,13263.0
3,11190.0
4,8166.0
14,21109.0
8,2158.0
4,6405.0
21,8073.0
1,493.0
21,8257.0
19,656.0
1,46.0
20,9383.0
1,57.0
10,15545.0
1,46.0
5,19573.0
5,4959.0
3,11041.0
1,2769.0
5,12350.0
3,12518.0
4,12366.0
3,11925.0
5,12229.0
3,11956.0
1,984.0
4,12045.0
4,7291.0
1,4054.0
1,418.0
2,12225.0
1,3281.0
3,12520.0
4,13332.0
4,13396.0
3,12206.0
4,11828.0
4,3144.0
4,18177.0
5,5858.0
1,14619.0
5,14164.0
5,12671.0
4,5952.0
4,12536.0
2,18255.0
2,5871.0
3,5932.0
5,8485.0
2,8706.0
2,15064.0
4,1446.0
1,12556.0
4,12935.0
4,11680.0
3,11690.0
4,12011.0
3,13307.0
4,12588.0
3,9242.0
4,9300.0
1,3620.0
4,3312.0
4,13666.0
6,11391.0
3,13823.0
21,19147.0
2,2019.0
2,18527.0
1,114.0
4,12549.0
3,11837.0
4,10792.0
4,12862.0
3,17945.0
5,10636.0
3,11811.0
5,11989.0
1,2658.0
3,12639.0
5,9037.0
1,2599.0
4,2958.0
18,17599.0
2,59.0
4,1154.0
8,3734.0
12,353.0
3,10011.0
1,420.0
1,864.0
5,1489.0
3,10859.0
3,6662.0
1,2535.0
4,14730.0
3,15006.0
4,9758.0
4,11549.0
3,15595.0
5,11132.0
1,2028.0
5,13558.0
5,12470.0
5,12981.0
5,5502.0
1,2189.0
4,16623.0
7,11871.0
4,10460.0
1,2484.0
4,10363.0
3,13680.0
3,12654.0
4,15167.0
3,15490.0
4,8886.0
4,11330.0
4,11763.0
1,2577.0
3,13355.0
4,10961.0
3,15010.0
5,12299.0
4,14741.0
4,8351.0
1,2506.0
6,11750.0
3,7758.0
1,2138.0
4,13487.0
5,3674.0
6,2044.0
5,954.0
4,3291.0
5,11464.0
4,13901.0
5,6490.0
1,1729.0
4,9655.0
5,11578.0
4,17465.0
4,11561.0
5,10746.0
4,8999.0
7,7110.0
1,8626.0
2,11541.0
3,11540.0
18,16811.0
1,138.0
2,19565.0
1,156.0
4,14553.0
1,2504.0
4,14162.0
1,2629.0
4,9937.0
3,13430.0
4,12127.0
4,8423.0
5,13207.0
1,2276.0
4,2932.0
1,35.0
8,3624.0
6,3416.0
11,7795.0
1,2069.0
7,2957.0
1,2064.0
39,2563.0
23,12515.0
4,19414.0
1,13.0
1,26.0
2,10401.0
1,17208.0
1,49.0
5,9265.0
4,13392.0
3,10679.0
1,2817.0
5,9875.0
1,2118.0
3,9821.0
4,11918.0
4,1102.0
5,11571.0
5,11872.0
3,14235.0
5,12085.0
4,6942.0
3,17201.0
1,4548.0
4,1231.0
2,16800.0
5,12754.0
3,8921.0
4,11289.0
3,11146.0
1,1819.0
4,17053.0
1,1955.0
1,9649.0
4,12447.0
28,399.0
1,44.0
22,10683.0
22,10741.0
1,32.0
17,10555.0
1,29.0
1,22.0
4,15782.0
1,54.0
9,14647.0
4,9403.0
20,13150.0
1,2561.0
1,1488.0
3,16908.0
1,5991.0
